LCLid,average_consumption_2011,average_consumption_2012,average_consumption_2013,average_consumption_2014,average_annual_consumption,average_monthly_consumption,average_monday_consumption_january_2012,average_sunday_consumption_january_2012,average_consumption_period1,average_consumption_period2,average_consumption_period3,average_consumption_period4,average_consumption_autumn,average_consumption_spring,average_consumption_summer,average_consumption_winter,total_consumption_2011,total_consumption_2012,total_consumption_2013,total_consumption_2014,average_total_consumption_per_year,average_total_monday_consumption_january_2012,average_total_sunday_consumption_january_2012,total_consumption_period1,total_consumption_period2,total_consumption_period3,total_consumption_period4,total_consumption_autumn,total_consumption_spring,total_consumption_summer,total_consumption_winter,label,component_1,component_2
MAC004480,0.5431262884450799,0.3838398613629674,0.5480364648495945,0.0,0.4485303984868021,0.3729833606693828,0.7209380723096004,0.6774814844638307,0.1717550059424314,0.3487374943861422,0.3555924986394129,0.7015900618374291,0.5021556006937203,0.4378320178246175,0.2796506791045285,0.4001705572589873,0.4714367353074224,0.154708298766142,0.4820354995476417,0.0,0.2806866253436081,0.7209380723096004,0.6802929054944696,0.1521797845391093,0.3200921782692528,0.3267479573431435,0.6432620200041437,0.4664886889707158,0.4379311870245778,0.4804294645831098,0.3060382619815065,3,1.3080306136221242,1.041340585299982
MAC004481,0.0643233068861112,0.0862214788865516,0.1632755122540276,0.1184866117298893,0.1165680586346468,0.08364295941512,0.0798161083217071,0.0695368013186022,0.0462030650897282,0.0989746689776127,0.0993083429811346,0.1511899127415908,0.1273326400903443,0.1080994812366602,0.093343189207027,0.0896689399316382,0.055832999520943,0.4137255883091912,0.1632848358899489,0.1184866117298893,0.3023245064824005,0.0798161083217071,0.0698253659954439,0.0473538229386845,0.1046596133923105,0.1051526716854664,0.1597295609448214,0.1273326400903444,0.1081239658303719,0.1603419756345581,0.1062548624966874,2,-0.2259525888159582,-0.0350721510436758
MAC004482,0.0688003847696919,0.0610855477962426,0.0978522245716551,0.0842839984760675,0.0755564265007969,0.0593998857035701,0.1263968765246883,0.0960766737773959,0.0198369130157513,0.0603403156644199,0.0583000997406999,0.1264408753507875,0.0869625500827592,0.0623532906076057,0.0506539755454108,0.0693083250342077,0.0596204195134776,0.0929198892186994,0.0978578122957626,0.0842839984760675,0.0839303937088615,0.1263968765246884,0.0964753739447156,0.0206264665290991,0.0640529037582581,0.0621008556986357,0.1337382949287371,0.0870024000312449,0.0623250444963452,0.0870216525149409,0.082171313186903,2,-0.4456670472049295,0.1070574706776207
MAC004483,0.100878201297333,0.0976803759183641,0.1422937871666679,0.1456628320220398,0.1152439268644035,0.0952307145295804,0.1538381161940221,0.17577682482836,0.0215903938127119,0.116194005523789,0.1024364806920592,0.1758187295084095,0.1219444645860987,0.0978748342040647,0.0842371388842662,0.1080891717795086,0.0874181256579471,0.0658353436920065,0.1353221066396578,0.1431523056532578,0.0833886889622813,0.1538381161940222,0.1765062656667506,0.0213632938392458,0.1173214657632047,0.1036502289288093,0.1773946939980961,0.1153506064941479,0.0952145895597867,0.134491706437145,0.1244861834407539,2,-0.2398542447880846,0.170458891568941
MAC004484,0.6954333020631108,0.3151449612453362,0.4139077182332243,0.0,0.3540500249196111,0.3065467502069984,0.9472261885346354,0.8024093459525444,0.1450086713883489,0.2908371475199484,0.3505229084902317,0.4503871127489244,0.2896265370827349,0.2930611000211688,0.1629316012433035,0.521210958047079,0.602642344972911,0.1006840468553036,0.3653364322025438,0.0,0.1999120808089838,0.9472261885346354,0.805739194165559,0.1286938195013348,0.2673917801077451,0.3225201890516796,0.4139577720128138,0.2707804065909268,0.2930942892737193,0.2799104338096184,0.3985764848864006,3,0.992643257473328,1.541446569606997
MAC004486,0.2890769276378725,0.2031251472266552,0.2879809545926962,0.0,0.2365481401248665,0.1972236982912255,0.3368272061412889,0.34033933587372,0.1466400094469844,0.1272275449487961,0.1652957920013087,0.3727900787315301,0.2472933587142873,0.22389030640412,0.1977531997223375,0.1851830927101212,0.2301832063687507,0.3396436913001459,0.1334164849594874,0.0,0.2457472936265563,0.336827206141289,0.3417516802526757,0.0989349226547371,0.0889090329550912,0.1157107562091353,0.2609170990953652,0.1169466129880373,0.2129873809506918,0.214217475035389,0.1373173175102451,3,0.173216816344235,0.4900816496932021
MAC004487,0.1935704647785414,0.2243442100776303,0.3318538065547449,0.2111421431584642,0.2666943204261905,0.2182532740460389,0.3622405106533356,0.5440613453796769,0.0791614707617186,0.1759797024008213,0.2641451614667773,0.404691418018599,0.2435472473024958,0.2513255522302657,0.1728092287054611,0.2446443972607226,0.1674648353822963,0.2117626693427919,0.3318727566350644,0.2110663291034701,0.252168167034368,0.3622405106533355,0.5463190978695014,0.0807408699776715,0.1853460035908764,0.2785402990174183,0.4258659735896345,0.2434356435690544,0.2513824776101594,0.2968798300843936,0.2894994277972147,3,0.5672202356590006,0.5455002550752734
MAC004488,0.3363354812883352,0.1497901219364562,0.2417167646171978,0.2068800572670233,0.1859984115651969,0.145533888378343,0.3926642872753073,0.275896290680491,0.0756331507510197,0.1195952950157746,0.1424637284149639,0.3289496174091584,0.180004081631813,0.1711415475254121,0.1147252948227592,0.1896610337979176,0.2909760333097075,0.2417020909689807,0.2417857792256427,0.206805773583983,0.2325033789958954,0.3926642872753073,0.2770412085146784,0.0771655740011373,0.1263182838995906,0.1505961967342506,0.3462664324610258,0.1801278099500386,0.1711415475254121,0.1970491620001338,0.2245081200831613,3,0.2407915128323778,0.5115959870082301
MAC004489,0.2285141317144438,0.1120332712384342,0.1580263152046432,0.1169175685291286,0.1301407273701884,0.1088992046030295,0.208003456870511,0.177447898575955,0.0333886086882575,0.094133515685245,0.131874130166039,0.1979809188440759,0.1304378585599332,0.1197931737033798,0.0959460048235897,0.1141833132649468,0.1976958700485074,0.161416856637636,0.1580804585287198,0.1169175685291287,0.1498167041349379,0.2080034568705109,0.17818427405682,0.0343660530536223,0.0995853226164777,0.1394321167364371,0.2088911371338848,0.1305275168428247,0.1198067403142183,0.1648316727707821,0.1352598775522613,2,-0.1376309497439135,0.2724173205896808
MAC004490,0.2144708890796793,0.1240745593693732,0.1810178517268459,0.1354440658199167,0.1464971826796506,0.1205484040588187,0.20164419416417,0.1579788827455397,0.0534297215929978,0.0909386649031954,0.1304285881683271,0.2362714644762935,0.1592536068025315,0.1344007636111838,0.1075929322987671,0.1220072690599427,0.1852388453744146,0.1207571608887591,0.180924820624428,0.1354440658199167,0.1350995906023811,0.20164419416417,0.1586344654640832,0.0546723738772957,0.0961782054808816,0.1378396340160033,0.2488984388718467,0.1593813161905047,0.1344007636111839,0.1848197320053588,0.144301625173037,2,-0.0740178743444847,0.2291288061477335
MAC004492,0.1647883482338411,0.1115134238797628,0.1600745593647832,0.1027521127401454,0.1306328278019658,0.1083272441819035,0.1750768188249084,0.1405030753610511,0.0389749463771154,0.1104403040818566,0.1179342512223498,0.1802333390281267,0.1263935059694495,0.1105994580268346,0.1127452264693716,0.1070424871831778,0.1418551060836509,0.1337131007234507,0.1601202636131171,0.1027521127401455,0.134158294568943,0.1750768188249085,0.1410861367582968,0.0400279450707358,0.1166777333382331,0.1247646231300315,0.190250816048923,0.126494864033579,0.1106245088667048,0.1936263177873231,0.1267794595069881,2,-0.1803235246453919,0.1817659287262313
MAC004494,0.3205012603642394,0.1898453093702282,0.2842696514775076,0.215726583332968,0.2270385451971105,0.1844786847267707,0.3350082390161191,0.3075862904208558,0.0479076455308638,0.2000416499243983,0.2212086311672788,0.3419353043510143,0.2415073447399295,0.2020279549042659,0.1766898840743333,0.1898770581600265,0.2758977851055146,0.1201968401728454,0.2843995142694115,0.2157265833329681,0.1778437685901056,0.3350082390161192,0.3088627158073146,0.0490814575590267,0.2107700421999326,0.2333939222321928,0.3600867364925224,0.2417010154253665,0.2020737143504503,0.3035466515465832,0.2247636531616985,3,0.3812735346827751,0.4356972472493239
MAC004495,0.3998784067973661,0.1952804456801628,0.2665426423407316,0.20124002121987,0.2233467298625481,0.1897178061247429,0.3654605107391452,0.2731541178529381,0.0692440109132072,0.1450002875940577,0.239095654815927,0.3332852914252966,0.2175501859949166,0.2128849400600545,0.1561221971597746,0.2009534778781751,0.3442281837566996,0.2046273512156594,0.2666035246254143,0.20124002121987,0.2207439526830019,0.3654605107391452,0.274287656184462,0.0707063938877871,0.1529537946684888,0.2519635551142115,0.3509280993662492,0.2177246448449526,0.2128367215005845,0.2681513944753911,0.2377476196892886,3,0.3717567484297869,0.4843325638152493
MAC004496,0.0831581270619023,0.0537465035523124,0.0814256238592792,0.0466362450397048,0.0646362947289112,0.0522167344104277,0.1174112715654673,0.1383810130357917,0.0136021329858594,0.0467969030099647,0.0398994961786102,0.1240513032159546,0.0657365230656785,0.0617725037972954,0.0468349236375187,0.0533592226603571,0.0715851882885817,0.2103897966318787,0.0812163871602347,0.0273454176480567,0.1469981553605941,0.1174112715654673,0.1389552682725941,0.0138182246904611,0.0482097071525861,0.0413302434689037,0.1270386982752749,0.0657741771629782,0.0617725037972954,0.0800142631598587,0.0572178052081421,2,-0.4873090800269332,0.14854677490365
MAC004498,0.2638528949382887,0.1809844248264813,0.1530169748424787,0.1478942939951257,0.1699489778095053,0.176472845131229,0.3891260861161211,0.3010872232846844,0.0852409123297796,0.1741175419830163,0.1074295287608469,0.2078088255798515,0.1620473065822416,0.1590085233206656,0.11561912766435,0.1562704779424011,0.2267544965108105,0.0579192142962816,0.1530431883489044,0.1478411901193645,0.0860493191079639,0.3891260861161211,0.3023366787620827,0.0868092642356937,0.1832763061209632,0.113541807297877,0.2189136115885036,0.1612861724809847,0.1589725078000947,0.1985843858190422,0.1849647857867705,3,0.0502898900896169,0.5392376790757021
MAC004499,0.2713492519195167,0.1220284457908151,0.1957101424461306,0.1719424220828127,0.151046805148648,0.1184864252565467,0.1999978167902261,0.1689556225911885,0.0296495038856306,0.1604464526605888,0.1626877769641433,0.1882389747567821,0.15176533123668,0.1297845718772002,0.1041072694548074,0.1501088804215613,0.2328075360801593,0.1945213837001357,0.1957771970860733,0.1719424220828127,0.1852361403486294,0.1993170554590863,0.1696567567202984,0.0305663642619022,0.1691902702070727,0.1718068434133192,0.1986382268164514,0.1518696492556306,0.1298139681562211,0.1788321710131432,0.177648660637607,2,-0.0136149966588125,0.2458871759860166
MAC004500,0.7458982282901642,0.2018343395148985,0.328044687747369,0.3739770695686217,0.251553078094389,0.1966957251732923,0.6737826433243433,0.5483779515453253,0.2084004989480306,0.1457937154950237,0.1436584466280947,0.3937708514900294,0.19574052617827,0.2371731087831724,0.0681848473338301,0.3634707485830842,0.6399528558357507,0.1315080610567122,0.3281945482716939,0.3739770695686217,0.2028162164492019,0.6737826433243431,0.5506536171407229,0.2117449512785053,0.1538031143771313,0.1518203704335307,0.4144863666291124,0.1958974953251653,0.2372268286266114,0.1171257745352982,0.4300346572073147,3,0.727622851164272,1.1603501554133877
MAC004501,0.4138871555962886,0.2038513678537385,0.3350342088381065,0.2198311983530315,0.255529555287624,0.1978257593510364,0.3386936673178719,0.306519218829964,0.0713870839314074,0.2194109106175263,0.2610893222479297,0.3434651221738947,0.2647024294934376,0.2026508582741711,0.1777529288878244,0.2434939556434847,0.3550997403824686,0.2175374187180819,0.335168130689515,0.219673330347033,0.2569810329290556,0.3386936673178719,0.3077912160695574,0.0728784516275189,0.2311101212737815,0.2752694889067621,0.3615799095007188,0.2649147008883802,0.2026967588083215,0.3053383471429627,0.2880910642768527,3,0.5197596078215152,0.4543510102360205
MAC004502,0.2336573306422885,0.1568690031638949,0.2433614992782618,0.1996639608037039,0.1909360942053397,0.1522254130378275,0.3003576186236894,0.2054776440145323,0.0556821416158378,0.1557578663146272,0.1847152518774191,0.2796928230111261,0.2073987667002635,0.1666085262836379,0.1398166188249085,0.1677390369029897,0.2004692736357081,0.2197238686562138,0.2431947371727719,0.1996639608037039,0.219993965331216,0.3003576186236893,0.2063303376791656,0.0569611024663494,0.1642147867790642,0.1948992951105832,0.2941879184219582,0.2072562082628478,0.1666085262836379,0.2400909680473344,0.1984616629803051,3,0.1952457612922294,0.3043831191025293
MAC004503,0.1051681515822802,0.0615281052565804,0.0971807111313851,0.0717389516430121,0.07555999202428,0.0597590656660215,0.1031444865245052,0.0885870420411865,0.0190040674430153,0.055155698731644,0.0833434726986114,0.1008410130700419,0.0807747885602645,0.0697893518006938,0.0576647106315146,0.0620588011271978,0.0902303509988574,0.1690451356402453,0.0971973592660011,0.0717389516430122,0.1290155660002963,0.1031444865245052,0.0889546616422356,0.0197825324708934,0.0586158666774543,0.0883860182102557,0.1068193359911125,0.0808210566256559,0.0697814481368433,0.0990546176359108,0.0735321339600726,2,-0.445273202421231,0.0934350374721727
MAC004504,0.7473198711893592,0.3877426747973352,0.6632842819449589,0.4497742008237807,0.4963088145150935,0.3766731513650156,0.7320703444676209,0.6561803291473279,0.2190929625984926,0.4019560127852817,0.4652748370200272,0.6266105795938314,0.5131299043285816,0.4388738539446006,0.416872640908408,0.4013374378563022,0.6401003774749605,0.0663009773797849,0.6635115378661368,0.4497742008237806,0.3035592469108634,0.7320703444676209,0.6589033543805805,0.2225820287982864,0.422672086569487,0.489765890340895,0.6589442543376751,0.5135413958316519,0.4387247461799535,0.7160905983669619,0.4747406953365271,1,1.7989873603148103,1.030062336797107
MAC004505,0.3578744238409892,0.1444804294505627,0.2100826876317947,0.1735928644882666,0.1703154911794765,0.1404796443959112,0.329375613497284,0.3520730918577797,0.0335584100442513,0.1692301997617952,0.1436765662564556,0.272286829622723,0.1641405117848909,0.1523382797709859,0.1063934968732542,0.1741926798836842,0.30652945628848,0.41781331271859,0.210166663123653,0.1735928644882666,0.3242778263736979,0.329375613497284,0.3535341291222216,0.0345381509459346,0.178376730637674,0.1518073807509396,0.2869046963120963,0.1642533360569392,0.1523555321243009,0.1827800751930774,0.2061253500774708,3,0.1899970274607052,0.5258972771427265
MAC004507,0.1825513453838054,0.0888784924484253,0.1437313301967185,0.1002203693760118,0.1104767326942983,0.0863122896078313,0.1463057856098125,0.1225360125616068,0.032875438727211,0.0702815165423532,0.0833661014632091,0.2043748315871373,0.1205198209747773,0.0911937934536554,0.0865527666727096,0.0945449762202531,0.1555746042438743,0.1557039390790821,0.1437805757415552,0.1001843836060384,0.1404593410412515,0.1463057856098125,0.1230445140197669,0.0338422647008424,0.0744981622001972,0.0883909397467183,0.2154705581028556,0.1205888551258683,0.0911524825619437,0.1486944393008732,0.1119313334035102,2,-0.24961875582108,0.1669438414862941
