LCLid,Mean_KWH_January,Mean_KWH_February,Mean_KWH_March,Mean_KWH_April,Mean_KWH_May,Mean_KWH_June,Mean_KWH_July,Mean_KWH_August,Mean_KWH_September,Mean_KWH_October,Mean_KWH_November,Mean_KWH_December
MAC000105,1.4592787081934184,0.0731947955390334,0.0730477150537634,0.0665086745315752,0.2673581989919355,0.183353920888272,0.2059200804566823,0.2046366688381464,0.16813532276197085,0.6238697110141034,0.6623511435114504,0.18334452659503023
MAC000108,0.0739456010745466,0.3608490707063197,0.3443008728676964,0.3144663432338653,0.1945486904633982,0.2433296321998612,0.1886803221625251,0.15545802552048354,0.242169326648161,0.18618938885157824,0.25124288681471196,0.3126957688381464
MAC000110,0.3772928141034251,0.2201152414869888,0.1984882471457353,0.18152116592644,0.2387002688172043,0.5979784628858579,0.5085614509738079,0.43652284946236564,0.5693206113115892,0.5789006042310275,0.3415711311589174,0.3319335123572868
MAC000111,0.2112162525184687,0.3658513008178439,0.31298119516454,0.2522845247050659,0.5702022844086021,0.1425364333102012,0.1203888516453996,0.12095567488247144,0.15790770305343513,0.17703895231699127,0.32600971540596807,0.2330235057756884
MAC000112,0.3296131633982538,0.5365167286245354,0.6440040295500336,0.4980798608333333,0.1580678765456989,0.6158160995142262,0.5831175287441236,0.5695627933512424,0.5737925048577377,0.17165883143049027,0.1869951422623178,0.1220995291862811
MAC000113,0.57641840161182,0.2165464681784386,0.2367548687709872,0.1995926439972241,0.5546836799865682,0.1332255378209576,0.1406689053055742,0.14393015446608462,0.1353122832061069,0.2756642039623909,0.11488619014573212,0.18353525856279382
MAC000114,0.1567503586800573,0.6432074348698884,0.5554989920752182,0.5455794588480222,0.1289603760913364,0.1094358084663428,0.1213082605775688,0.13249630624580255,0.13275156141568353,0.19288784419073202,0.1711714087439278,0.2289616936155914
MAC000115,0.2017750167897918,0.1618951672862453,0.1570873070517125,0.1370749478834143,0.1243597848016139,0.191884108258154,0.1665692204973118,0.20336088702956986,0.24539208875780708,0.11332102081934185,0.23392430555555555,0.12142175950302217
MAC000116,0.7568200145063801,0.1134453531598513,0.1272988584284755,0.14064746703678,0.2346924106783076,0.0368216516308119,0.0506442501681237,0.09527977315689981,0.1879736294240111,0.16125587642713232,0.10732893823733518,0.20226662189388853
MAC000117,0.1660409669576897,0.4013955388104089,0.3633787777703156,0.279048644961779,0.0286756212222968,0.1858077723802914,0.1977977150537634,0.2025345869039624,0.10436388888888888,0.20878091397849463,0.20080013879250522,0.12155271994627266
MAC000118,0.1515853493951613,0.0177909226190476,0.0179234385493619,0.0244836918806384,0.2022760241773002,0.0985433726578764,0.0853774345198119,0.09817730020147751,0.1436981262317835,0.12367226326393553,0.11917904226231783,0.23294492921423773
MAC000119,0.431572867494963,0.2589456844494047,0.2262914707857622,0.2083840632447954,0.1088274010073875,0.1288750866759195,0.1397461383478845,0.12974613834788448,0.17707355995836224,0.17149361987911352,0.25334097236111114,0.08853324378777702
MAC000120,0.0140443250503693,0.123109456366344,0.1116803222968435,0.1097284722222222,0.1380261921423774,0.1680201249826509,0.1552968434519812,0.13065883149764942,0.09531944437499999,0.10118737407656145,0.08249930555555555,0.2688260577568838
MAC000121,0.2945513768300873,0.1714118959107806,0.170775688381464,0.1451887578070784,0.2081356615177971,0.0736072172102706,0.0859529886501007,0.06168770987239758,0.16842262317834836,0.22160104063893019,0.2866356698126301,0.31223924731182795
MAC000122,0.1035268817204301,0.3321228593447505,0.3041672264607119,0.2759548924358084,0.0919240591397849,0.1532,0.1817327065144392,0.1990711887172599,0.09594864684247051,0.07507790463398253,0.30738194444444444,0.48360080598118277
MAC000123,0.1728959032907992,0.1263940521189591,0.1153404969778374,0.0798027777777777,0.1948200134318334,0.098258848091603,0.0951229838709677,0.09507253190060443,0.14847120048577378,0.1912357287441236,0.48290076301179735,0.3093371390866353
MAC000125,0.2907515108797851,0.2204862453531598,0.1620470114170584,0.1785634975711311,0.1024929482874412,0.1805794586398334,0.1487602418401611,0.162092679516454,0.07253643303261624,0.2903185485215054,0.3008806385149202,0.197923438549362
MAC000126,0.1574412355943586,0.1106669144981412,0.1203196776359973,0.1066537126301179,0.179685023304231,0.0641332408049965,0.074527871121558,0.07197313633310948,0.15488480222068007,0.460819341773002,0.1556280360166551,0.1031175286769644
MAC000127,0.1757824042981867,0.2465011151672862,0.2810342510409671,0.2269111727966689,0.0644076561450638,0.1499854267869535,0.1433767629281397,0.13594627266621895,0.28956835510062456,0.2894936200134319,0.11590631526717557,0.211063801208865
MAC000128,0.1172901276695769,0.0831955390334572,0.078989926124916,0.0705038167938931,0.1850604433176628,0.2575031226231783,0.2381262591000671,0.27598589623908665,0.4498494108952117,0.10878106131631968,0.2496541667361111,0.357337139355272
MAC000129,0.3222567202956989,0.2904237916728625,0.2561484217595701,0.2103594725884802,0.2745674948959032,0.4220312286606523,0.393881128139691,0.34118871685695096,0.2687793204024983,0.10813431833445265,0.334868840388619,0.14229166666666668
MAC000130,0.08054600402955,0.3046016382725242,0.3090335794492948,0.27758986814712,0.4432666211551377,0.2477473976405274,0.2621666667338709,0.2588495635997314,0.1060743054861111,0.19089254533243785,0.13296736111111113,0.03982728494623656
MAC000131,0.2674002685695097,0.5187940518959108,0.515606855577957,0.4506051347675225,0.2589791805238415,0.0970319223455933,0.0818495633310947,0.07840631302887843,0.11168841040943789,0.25723102753525856,0.03575972222222222,0.23744593687038282
MAC000132,0.3466104768300873,0.1193087318087318,0.3015755541302888,0.3284566269951423,0.1339234384822028,0.0913629424011103,0.0886406984553391,0.11628744110141034,0.11112074954892436,0.04863373655913979,0.21106384462179043,0.08827016129032259
MAC000133,0.5159684136424731,0.3777692973113616,0.2647206174613835,0.1826006943055555,0.0909207521826729,0.1494462179736294,0.1270376091336467,0.14801544660846205,0.04945777221542228,0.034578629032258064,0.08581180555555555,0.19666151779717933
MAC000134,0.3876149246268657,0.2790171005204461,0.1040449966420416,0.106081887647467,0.1876440564137004,0.1218687497222222,0.1106608462726662,0.10937340503693754,0.24475641901457323,0.19657555399597046,0.24164538514920195,0.8197165885829416
MAC000135,0.1151987911349899,0.3278899626765799,0.2161652115513767,0.1944587091603053,0.1175833333333333,0.2153435114503817,0.2530718603760913,0.23501007387508396,0.04840388619014573,0.08450604845430107,0.7466747751216122,0.359634408467742
MAC000136,0.3977931494291471,0.1184200743494423,0.1228549363331094,0.1316888888888888,0.2344089993284083,0.0449472588480222,0.0165782404298186,0.048308932169241106,0.029863289382373353,0.13084016118200134,0.2945715277777778,0.2739570181329752
MAC000137,0.2819200806581599,0.6476067705729166,0.2803431834788449,0.2624177653712699,0.070936198791135,0.0302408049965301,0.0348629952988582,0.03354600402955003,0.18551492026370578,0.4782256551376763,0.2733983344205413,0.23817002681451616
MAC000138,0.2729442577568838,0.1870118959107806,0.1882847548690396,0.1603573907009021,0.0303640026863666,0.1689680557638889,0.1735708527871054,0.1843848221625252,0.07216238723108953,0.2846108870967742,0.24009444437500002,0.11258025520483546
MAC000140,0.122676964271323,0.0930646840892193,0.0349120214909335,0.0325142262317834,0.1657184139784946,0.065705759888966,0.0612693082605775,0.06344526527871054,0.14607772373351838,0.24628206850235057,0.12296946564885497,0.14135752688172043
MAC000142,0.7585238407656145,0.3163375463197026,0.2337286767629281,0.1786224843858431,0.0701739422431161,0.1819507284524635,0.1469570181329751,0.09436601746138347,0.4095267171408744,0.2697083334677419,0.14649305555555556,0.05260913364674277
MAC000143,0.2470973807924781,0.1468123603871928,0.0834237743451981,0.0750388619014573,0.1786655472128945,0.40119375,0.3732760236400269,0.41174479543317666,0.3243136709923664,0.1192323707186031,0.043644691186675924,0.29616991262592346
MAC000144,0.156750167897918,0.031903946388682,0.233376091605104,0.1344816100624566,0.5172231175403226,0.2461478139486467,0.2317521826729348,0.27263398253861654,0.23226717557251908,0.14133602150537633,0.28123733539208884,0.3902379032930108
